"","NPC","d5","d25","d45"
"AKT1",58.798616913711,68.7828863425675,61.5374449829141,51.4795932759851
"APAF1",39.851993153958,42.5330308465074,35.1143167067887,33.8378395819566
"BAX",147.140498696309,69.8689033754849,49.465433442852,41.9422798560711
"BCL2L1",106.480276369614,207.065175384392,186.823818657662,194.616888059884
"BNIP1",25.5322897006814,18.1696141097938,20.5845239676275,24.0678957215973
"BOK",44.2615044131665,11.8282601821447,58.9154255754894,72.8397747784746
"FOXL2",0.179401514454971,0,0,0.033753266301559
"CASP1",0,0,0.072085364114459,0
"CASP2",53.2793410823237,65.3013100605175,41.0059108729131,36.8550612731878
"CASP3",125.421732472053,248.762470797648,156.706142134371,117.534404197361
"CASP6",35.8122375825143,8.4855346073552,4.04411779412634,4.67625722826955
"CASP7",35.5089876788048,0.598899978105419,0.0268085414651178,0.217037246610324
"CASP8",0.989806564313762,1.50255170503956,1.28306397426454,1.40264733775906
"CASP10",0.201131641947237,0.160447055146435,0.0108535030005028,0.0312916721050759
"CIDEA",0,0,0.0370339583613713,0
"DFFA",54.4502793075115,33.2757117971579,36.1414536736491,38.2512197976794
"DFFB",12.0522610245687,27.0253419164918,32.3035057206849,33.0423147451846
"DNASE1L3",0,0.0635132997391823,0.02951664698796,0.0856638532475766
"DNASE2",49.3251673196755,3.02889360802865,1.87921512500015,3.5320586530771
"ENDOG",5.42214310909102,6.79545281507825,9.23244931129452,5.79418996719533
"FAP",2.1635382804432,0,0.00979392987080677,0.0140594427819003
"GCG",0,0,0,0.030594303793135
"GPER1",0.481303468272173,0.252085025236958,0.530449404490438,0.614944951434039
"HMGB1",141.84960756213,65.2668404312152,97.3386179023686,74.408308918806
"HMGB2",1641.07074575682,26.8355827102442,19.0307495526962,14.7530388010544
"HSF1",65.8299355286683,60.3584256970446,58.6978804092779,49.9301581199801
"IL6",0.094986276807637,0,0,0
"KPNA1",53.8829581590826,69.0470000296952,63.4054289014992,65.9542686919481
"KPNB1",411.048600610315,163.692008300072,107.146755745658,138.708292447178
"PAK2",136.813599869726,185.572418494764,119.620892324209,97.6674626992394
"PTGIS",77.2668000257159,7.98487942594874,15.683400703278,16.3806427364942
"RFPL1",0,0.058259929813536,0.156094065829479,0.114446211378157
"RPS3",589.59790813089,229.252634898907,224.226791029923,217.50390603444
"TOP2A",807.141738010833,7.26206497754547,0.756164048726427,1.239780532307
"TP53",190.557566137818,20.2305181907751,15.9698457588155,12.9275269707556
"TP53BP2",107.730115070348,64.6236458611407,37.1118892576643,37.4600665017651
"FZD3",172.264997231414,113.366583442251,87.0202915511173,66.037535244525
"STK24",128.93975663536,60.0700231422687,63.063092441988,62.7289460468754
"MADD",35.0813389461352,167.170647366803,212.680041516113,201.329627871058
"AIFM1",127.451275356923,91.0431404855414,82.9399507573842,96.6198920385858
"EXOG",31.3240675210655,43.1421129170962,32.1316299143201,33.3652689085092
"DNM1L",98.5517226073698,162.118200912717,172.897737247675,169.200373556627
"DLC1",1.79661994973484,2.54769511713756,16.2432253528028,14.1291843177292
